timestamp,marginal_profit,pnl,trades,position,actual_pnl,starfruit_price,amethyst_price
100,-10242,-10242,"(AMETHYSTS, MARKET << US, 10002, 1, 100)
(AMETHYSTS, MARKET << US, 10002, 1, 100)
(STARFRUIT, US << MARKET, 5041, 1, 100)
(STARFRUIT, US << MARKET, 5041, 1, 100)
(STARFRUIT, US << MARKET, 5041, 1, 100)
(STARFRUIT, US << MARKET, 5041, 1, 100)
(STARFRUIT, US << MARKET, 5041, 1, 100)
(STARFRUIT, US << MARKET, 5041, 1, 100)","{""AMETHYSTS"": -2, ""STARFRUIT"": 6}",12,5042,9999
300,-34803,-45045,"(AMETHYSTS, US << MARKET, 9998, 1, 300)
(AMETHYSTS, US << MARKET, 9998, 1, 300)
(AMETHYSTS, US << MARKET, 9998, 1, 300)
(AMETHYSTS, US << MARKET, 9998, 1, 300)
(AMETHYSTS, US << MARKET, 9998, 1, 300)
(AMETHYSTS, US << MARKET, 9998, 1, 300)
(STARFRUIT, MARKET << US, 5037, 1, 300)
(STARFRUIT, MARKET << US, 5037, 1, 300)
(STARFRUIT, MARKET << US, 5037, 1, 300)
(STARFRUIT, MARKET << US, 5037, 1, 300)
(STARFRUIT, MARKET << US, 5037, 1, 300)","{""AMETHYSTS"": 4, ""STARFRUIT"": 1}",-17,5040,9997
500,-82,-45127,"(AMETHYSTS, US << MARKET, 10002, 1, 500)
(AMETHYSTS, MARKET << US, 10004, 1, 500)
(AMETHYSTS, MARKET << US, 10004, 1, 500)
(STARFRUIT, US << MARKET, 5044, 1, 500)
(STARFRUIT, US << MARKET, 5044, 1, 500)","{""AMETHYSTS"": 3, ""STARFRUIT"": 3}",2,5040,10003
1300,10080,-35047,"(STARFRUIT, MARKET << US, 5040, 1, 1300)
(STARFRUIT, MARKET << US, 5040, 1, 1300)","{""AMETHYSTS"": 3, ""STARFRUIT"": 1}",-11,5036,10000
1400,5036,-30011,"(STARFRUIT, MARKET << US, 5036, 1, 1400)","{""AMETHYSTS"": 3, ""STARFRUIT"": 0}",-11,5039,10000
1500,9922,-20089,"(AMETHYSTS, MARKET << US, 10002, 1, 1500)
(AMETHYSTS, MARKET << US, 10002, 1, 1500)
(STARFRUIT, US << MARKET, 5041, 1, 1500)
(STARFRUIT, US << MARKET, 5041, 1, 1500)","{""AMETHYSTS"": 1, ""STARFRUIT"": 2}",-2,5042,10003
1700,-60030,-80119,"(AMETHYSTS, US << MARKET, 10005, 1, 1700)
(AMETHYSTS, US << MARKET, 10005, 1, 1700)
(AMETHYSTS, US << MARKET, 10005, 1, 1700)
(AMETHYSTS, US << MARKET, 10005, 1, 1700)
(AMETHYSTS, US << MARKET, 10005, 1, 1700)
(AMETHYSTS, US << MARKET, 10005, 1, 1700)","{""AMETHYSTS"": 7, ""STARFRUIT"": 2}",-43,5038,10000
2400,20168,-59951,"(STARFRUIT, MARKET << US, 5042, 1, 2400)
(STARFRUIT, MARKET << US, 5042, 1, 2400)
(STARFRUIT, MARKET << US, 5042, 1, 2400)
(STARFRUIT, MARKET << US, 5042, 1, 2400)","{""AMETHYSTS"": 7, ""STARFRUIT"": -2}",-28,5042,10001
2700,-99980,-159931,"(AMETHYSTS, US << MARKET, 9998, 1, 2700)
(AMETHYSTS, US << MARKET, 9998, 1, 2700)
(AMETHYSTS, US << MARKET, 9998, 1, 2700)
(AMETHYSTS, US << MARKET, 9998, 1, 2700)
(AMETHYSTS, US << MARKET, 9998, 1, 2700)
(AMETHYSTS, US << MARKET, 9998, 1, 2700)
(AMETHYSTS, US << MARKET, 9998, 1, 2700)
(AMETHYSTS, US << MARKET, 9998, 1, 2700)
(AMETHYSTS, US << MARKET, 9998, 1, 2700)
(AMETHYSTS, US << MARKET, 9998, 1, 2700)","{""AMETHYSTS"": 17, ""STARFRUIT"": -2}",12,5037,10001
2800,-10082,-170013,"(STARFRUIT, US << MARKET, 5041, 1, 2800)
(STARFRUIT, US << MARKET, 5041, 1, 2800)","{""AMETHYSTS"": 17, ""STARFRUIT"": 0}",4,5041,10001
2900,9998,-160015,"(AMETHYSTS, MARKET << US, 9998, 1, 2900)","{""AMETHYSTS"": 16, ""STARFRUIT"": 0}",33,5038,10003
3100,5035,-154980,"(STARFRUIT, MARKET << US, 5035, 1, 3100)","{""AMETHYSTS"": 16, ""STARFRUIT"": -1}",-18,5038,10000
3300,-9996,-164976,"(AMETHYSTS, US << MARKET, 9996, 1, 3300)
(AMETHYSTS, US << MARKET, 9996, 1, 3300)
(AMETHYSTS, US << MARKET, 9996, 1, 3300)
(AMETHYSTS, MARKET << US, 9996, 1, 3300)
(AMETHYSTS, MARKET << US, 9996, 1, 3300)","{""AMETHYSTS"": 17, ""STARFRUIT"": -1}",-13,5037,10000
3700,5031,-159945,"(STARFRUIT, US << MARKET, 5040, 1, 3700)
(STARFRUIT, US << MARKET, 5040, 1, 3700)
(STARFRUIT, MARKET << US, 5037, 1, 3700)
(STARFRUIT, MARKET << US, 5037, 1, 3700)
(STARFRUIT, MARKET << US, 5037, 1, 3700)","{""AMETHYSTS"": 17, ""STARFRUIT"": -2}",-51,5036,9998
3800,-30204,-190149,"(STARFRUIT, US << MARKET, 5034, 1, 3800)
(STARFRUIT, US << MARKET, 5034, 1, 3800)
(STARFRUIT, US << MARKET, 5034, 1, 3800)
(STARFRUIT, US << MARKET, 5034, 1, 3800)
(STARFRUIT, US << MARKET, 5034, 1, 3800)
(STARFRUIT, US << MARKET, 5034, 1, 3800)","{""AMETHYSTS"": 17, ""STARFRUIT"": 4}",46,5036,10003
4200,-20140,-210289,"(STARFRUIT, US << MARKET, 5035, 1, 4200)
(STARFRUIT, US << MARKET, 5035, 1, 4200)
(STARFRUIT, US << MARKET, 5035, 1, 4200)
(STARFRUIT, US << MARKET, 5035, 1, 4200)","{""AMETHYSTS"": 17, ""STARFRUIT"": 8}",15,5038,10000
4300,34948,-175341,"(AMETHYSTS, MARKET << US, 9996, 1, 4300)
(AMETHYSTS, MARKET << US, 9996, 1, 4300)
(AMETHYSTS, MARKET << US, 9996, 1, 4300)
(AMETHYSTS, MARKET << US, 9995, 1, 4300)
(STARFRUIT, US << MARKET, 5035, 1, 4300)","{""AMETHYSTS"": 13, ""STARFRUIT"": 9}",1,5038,10000
4400,15033,-160308,"(AMETHYSTS, MARKET << US, 9998, 1, 4400)
(STARFRUIT, MARKET << US, 5035, 1, 4400)","{""AMETHYSTS"": 12, ""STARFRUIT"": 8}",-32,5039,9997
4800,-35045,-195353,"(AMETHYSTS, US << MARKET, 10002, 1, 4800)
(AMETHYSTS, US << MARKET, 10002, 1, 4800)
(AMETHYSTS, US << MARKET, 10002, 1, 4800)
(STARFRUIT, US << MARKET, 5039, 1, 4800)","{""AMETHYSTS"": 15, ""STARFRUIT"": 9}",16,5036,10003
4900,-49990,-245343,"(AMETHYSTS, US << MARKET, 9998, 1, 4900)
(AMETHYSTS, US << MARKET, 9998, 1, 4900)
(AMETHYSTS, US << MARKET, 9998, 1, 4900)
(AMETHYSTS, US << MARKET, 9998, 1, 4900)
(AMETHYSTS, US << MARKET, 9998, 1, 4900)","{""AMETHYSTS"": 20, ""STARFRUIT"": 9}",-99,5036,9996
5400,30210,-215133,"(STARFRUIT, MARKET << US, 5035, 1, 5400)
(STARFRUIT, MARKET << US, 5035, 1, 5400)
(STARFRUIT, MARKET << US, 5035, 1, 5400)
(STARFRUIT, MARKET << US, 5035, 1, 5400)
(STARFRUIT, MARKET << US, 5035, 1, 5400)
(STARFRUIT, MARKET << US, 5035, 1, 5400)","{""AMETHYSTS"": 20, ""STARFRUIT"": 3}",-94,5033,9997
6700,0,-215133,,"{""AMETHYSTS"": 20, ""STARFRUIT"": 3}",26,5033,10003
6800,30054,-185079,"(AMETHYSTS, MARKET << US, 9998, 1, 6800)
(AMETHYSTS, MARKET << US, 9996, 1, 6800)
(STARFRUIT, MARKET << US, 5030, 1, 6800)
(STARFRUIT, MARKET << US, 5030, 1, 6800)","{""AMETHYSTS"": 18, ""STARFRUIT"": 1}",-28,5033,10001
6900,-10070,-195149,"(STARFRUIT, US << MARKET, 5035, 1, 6900)
(STARFRUIT, US << MARKET, 5035, 1, 6900)","{""AMETHYSTS"": 18, ""STARFRUIT"": 3}",-53,5032,10000
7200,-20076,-215225,"(AMETHYSTS, US << MARKET, 10004, 1, 7200)
(STARFRUIT, US << MARKET, 5036, 1, 7200)
(STARFRUIT, US << MARKET, 5036, 1, 7200)","{""AMETHYSTS"": 19, ""STARFRUIT"": 5}",-60,5033,10000
7300,25150,-190075,"(STARFRUIT, MARKET << US, 5030, 1, 7300)
(STARFRUIT, MARKET << US, 5030, 1, 7300)
(STARFRUIT, MARKET << US, 5030, 1, 7300)
(STARFRUIT, MARKET << US, 5030, 1, 7300)
(STARFRUIT, MARKET << US, 5030, 1, 7300)","{""AMETHYSTS"": 19, ""STARFRUIT"": 0}",-94,5033,9999
7400,20004,-170071,"(AMETHYSTS, MARKET << US, 10002, 1, 7400)
(AMETHYSTS, MARKET << US, 10002, 1, 7400)","{""AMETHYSTS"": 17, ""STARFRUIT"": 0}",-20,5032,10003
7700,14976,-155095,"(AMETHYSTS, MARKET << US, 10005, 1, 7700)
(AMETHYSTS, MARKET << US, 10005, 1, 7700)
(STARFRUIT, US << MARKET, 5035, 1, 7700)
(STARFRUIT, US << MARKET, 5035, 1, 7700)
(STARFRUIT, MARKET << US, 5036, 1, 7700)","{""AMETHYSTS"": 15, ""STARFRUIT"": 1}",-63,5032,10000
7800,5036,-150059,"(STARFRUIT, MARKET << US, 5036, 1, 7800)","{""AMETHYSTS"": 15, ""STARFRUIT"": 0}",-59,5036,10000
7900,9934,-140125,"(AMETHYSTS, MARKET << US, 10002, 1, 7900)
(AMETHYSTS, MARKET << US, 10002, 1, 7900)
(STARFRUIT, US << MARKET, 5035, 1, 7900)
(STARFRUIT, US << MARKET, 5035, 1, 7900)","{""AMETHYSTS"": 13, ""STARFRUIT"": 2}",-66,5036,9999
8100,20148,-119977,"(STARFRUIT, MARKET << US, 5037, 1, 8100)
(STARFRUIT, MARKET << US, 5037, 1, 8100)
(STARFRUIT, MARKET << US, 5037, 1, 8100)
(STARFRUIT, MARKET << US, 5037, 1, 8100)","{""AMETHYSTS"": 13, ""STARFRUIT"": -2}",-45,5034,10000
8200,9998,-109979,"(AMETHYSTS, MARKET << US, 9998, 1, 8200)","{""AMETHYSTS"": 12, ""STARFRUIT"": -2}",-91,5032,9996
8300,-30222,-140201,"(STARFRUIT, US << MARKET, 5037, 1, 8300)
(STARFRUIT, US << MARKET, 5037, 1, 8300)
(STARFRUIT, US << MARKET, 5037, 1, 8300)
(STARFRUIT, US << MARKET, 5037, 1, 8300)
(STARFRUIT, US << MARKET, 5037, 1, 8300)
(STARFRUIT, US << MARKET, 5037, 1, 8300)","{""AMETHYSTS"": 12, ""STARFRUIT"": 4}",-29,5034,10003
8900,-50010,-190211,"(AMETHYSTS, US << MARKET, 10002, 1, 8900)
(AMETHYSTS, US << MARKET, 10002, 1, 8900)
(AMETHYSTS, US << MARKET, 10002, 1, 8900)
(AMETHYSTS, US << MARKET, 10002, 1, 8900)
(AMETHYSTS, US << MARKET, 10002, 1, 8900)","{""AMETHYSTS"": 17, ""STARFRUIT"": 4}",-28,5033,10003
9300,-20136,-210347,"(STARFRUIT, US << MARKET, 5034, 1, 9300)
(STARFRUIT, US << MARKET, 5034, 1, 9300)
(STARFRUIT, US << MARKET, 5034, 1, 9300)
(STARFRUIT, US << MARKET, 5034, 1, 9300)","{""AMETHYSTS"": 17, ""STARFRUIT"": 8}",-67,5035,10000
9600,-10068,-220415,"(STARFRUIT, US << MARKET, 5034, 1, 9600)
(STARFRUIT, US << MARKET, 5034, 1, 9600)","{""AMETHYSTS"": 17, ""STARFRUIT"": 10}",-125,5029,10000
10100,-20132,-240547,"(STARFRUIT, US << MARKET, 5033, 1, 10100)
(STARFRUIT, US << MARKET, 5033, 1, 10100)
(STARFRUIT, US << MARKET, 5033, 1, 10100)
(STARFRUIT, US << MARKET, 5033, 1, 10100)","{""AMETHYSTS"": 17, ""STARFRUIT"": 14}",-71,5034,10000
10300,29946,-210601,"(AMETHYSTS, MARKET << US, 10004, 1, 10300)
(AMETHYSTS, MARKET << US, 10004, 1, 10300)
(AMETHYSTS, MARKET << US, 10004, 1, 10300)
(AMETHYSTS, MARKET << US, 10004, 1, 10300)
(STARFRUIT, US << MARKET, 5035, 1, 10300)
(STARFRUIT, US << MARKET, 5035, 1, 10300)","{""AMETHYSTS"": 13, ""STARFRUIT"": 16}",-89,5032,10000
10600,-39992,-250593,"(AMETHYSTS, US << MARKET, 9998, 1, 10600)
(AMETHYSTS, US << MARKET, 9998, 1, 10600)
(AMETHYSTS, US << MARKET, 9998, 1, 10600)
(AMETHYSTS, US << MARKET, 9998, 1, 10600)","{""AMETHYSTS"": 17, ""STARFRUIT"": 16}",-165,5031,9996
10700,30174,-220419,"(STARFRUIT, MARKET << US, 5029, 1, 10700)
(STARFRUIT, MARKET << US, 5029, 1, 10700)
(STARFRUIT, MARKET << US, 5029, 1, 10700)
(STARFRUIT, MARKET << US, 5029, 1, 10700)
(STARFRUIT, MARKET << US, 5029, 1, 10700)
(STARFRUIT, MARKET << US, 5029, 1, 10700)","{""AMETHYSTS"": 17, ""STARFRUIT"": 10}",-82,5032,10001
10800,14975,-205444,"(AMETHYSTS, MARKET << US, 10002, 1, 10800)
(AMETHYSTS, MARKET << US, 10002, 1, 10800)
(STARFRUIT, US << MARKET, 5029, 1, 10800)","{""AMETHYSTS"": 15, ""STARFRUIT"": 11}",-47,5032,10003
11100,-39984,-245428,"(AMETHYSTS, US << MARKET, 9996, 1, 11100)
(AMETHYSTS, US << MARKET, 9996, 1, 11100)
(AMETHYSTS, US << MARKET, 9996, 1, 11100)
(AMETHYSTS, US << MARKET, 9996, 1, 11100)","{""AMETHYSTS"": 19, ""STARFRUIT"": 11}",-106,5031,9999
11300,-20136,-265564,"(STARFRUIT, US << MARKET, 5034, 1, 11300)
(STARFRUIT, US << MARKET, 5034, 1, 11300)
(STARFRUIT, US << MARKET, 5034, 1, 11300)
(STARFRUIT, US << MARKET, 5034, 1, 11300)","{""AMETHYSTS"": 19, ""STARFRUIT"": 15}",-114,5030,10000
11400,9998,-255566,"(AMETHYSTS, MARKET << US, 9998, 1, 11400)","{""AMETHYSTS"": 18, ""STARFRUIT"": 15}",-98,5030,10001
12000,-20128,-275694,"(STARFRUIT, US << MARKET, 5032, 1, 12000)
(STARFRUIT, US << MARKET, 5032, 1, 12000)
(STARFRUIT, US << MARKET, 5032, 1, 12000)
(STARFRUIT, US << MARKET, 5032, 1, 12000)","{""AMETHYSTS"": 18, ""STARFRUIT"": 19}",-162,5028,10000
12100,14978,-260716,"(AMETHYSTS, MARKET << US, 10002, 1, 12100)
(AMETHYSTS, MARKET << US, 10002, 1, 12100)
(STARFRUIT, US << MARKET, 5026, 1, 12100)","{""AMETHYSTS"": 16, ""STARFRUIT"": 20}",-152,5029,9999
12300,-10002,-270718,"(AMETHYSTS, US << MARKET, 10002, 1, 12300)","{""AMETHYSTS"": 17, ""STARFRUIT"": 20}",-212,5027,9998
12500,-20004,-290722,"(AMETHYSTS, US << MARKET, 10002, 1, 12500)
(AMETHYSTS, US << MARKET, 10002, 1, 12500)","{""AMETHYSTS"": 19, ""STARFRUIT"": 20}",-105,5028,10003
13300,0,-290722,,"{""AMETHYSTS"": 19, ""STARFRUIT"": 20}",-122,5030,10000
13600,25165,-265557,"(STARFRUIT, MARKET << US, 5033, 1, 13600)
(STARFRUIT, MARKET << US, 5033, 1, 13600)
(STARFRUIT, MARKET << US, 5033, 1, 13600)
(STARFRUIT, MARKET << US, 5033, 1, 13600)
(STARFRUIT, MARKET << US, 5033, 1, 13600)","{""AMETHYSTS"": 19, ""STARFRUIT"": 15}",-47,5034,10000
13700,9998,-255559,"(AMETHYSTS, MARKET << US, 9998, 1, 13700)","{""AMETHYSTS"": 18, ""STARFRUIT"": 15}",-46,5033,10001
14000,-14957,-270516,"(AMETHYSTS, US << MARKET, 9996, 1, 14000)
(AMETHYSTS, US << MARKET, 9996, 1, 14000)
(STARFRUIT, MARKET << US, 5035, 1, 14000)","{""AMETHYSTS"": 20, ""STARFRUIT"": 14}",-26,5035,10000
14300,5029,-265487,"(STARFRUIT, MARKET << US, 5029, 1, 14300)","{""AMETHYSTS"": 20, ""STARFRUIT"": 13}",-71,5032,10000
14500,-5029,-270516,"(STARFRUIT, US << MARKET, 5029, 1, 14500)","{""AMETHYSTS"": 20, ""STARFRUIT"": 14}",-136,5030,9998
14800,-5029,-275545,"(STARFRUIT, US << MARKET, 5029, 1, 14800)","{""AMETHYSTS"": 20, ""STARFRUIT"": 15}",-80,5031,10000
15000,-5029,-280574,"(STARFRUIT, US << MARKET, 5029, 1, 15000)","{""AMETHYSTS"": 20, ""STARFRUIT"": 16}",-78,5031,10000
15100,14971,-265603,"(AMETHYSTS, MARKET << US, 10002, 1, 15100)
(AMETHYSTS, MARKET << US, 10002, 1, 15100)
(STARFRUIT, US << MARKET, 5033, 1, 15100)","{""AMETHYSTS"": 18, ""STARFRUIT"": 17}",29,5034,10003
15200,-15087,-280690,"(STARFRUIT, US << MARKET, 5029, 1, 15200)
(STARFRUIT, US << MARKET, 5029, 1, 15200)
(STARFRUIT, US << MARKET, 5029, 1, 15200)","{""AMETHYSTS"": 18, ""STARFRUIT"": 20}",-108,5030,9999
15400,-4969,-285659,"(AMETHYSTS, US << MARKET, 10002, 1, 15400)
(STARFRUIT, MARKET << US, 5033, 1, 15400)","{""AMETHYSTS"": 19, ""STARFRUIT"": 19}",-108,5030,9999
15500,5,-285654,"(STARFRUIT, US << MARKET, 5028, 1, 15500)
(STARFRUIT, MARKET << US, 5033, 1, 15500)","{""AMETHYSTS"": 19, ""STARFRUIT"": 19}",-65,5030,10001
